period_date,year,quarter,year_quarter,mx_state,mx_municipality,remittances_musd
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Viesca,0.201937
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Villa Union,1.56e-4
2013-01-01,2013,1,2013Q1,Coahuila De Zaragoza,Zaragoza,0.709361
2013-01-01,2013,1,2013Q1,Colima,Armeria,1.336965
2013-01-01,2013,1,2013Q1,Colima,Colima,17.474228
2013-01-01,2013,1,2013Q1,Colima,Comala,0.45112
2013-01-01,2013,1,2013Q1,Colima,Coquimatlan,0.629245
2013-01-01,2013,1,2013Q1,Colima,Cuauhtemoc,1.489488
2013-01-01,2013,1,2013Q1,Colima,Ixtlahuacan,0.257783
2013-01-01,2013,1,2013Q1,Colima,Manzanillo,6.629304
2013-01-01,2013,1,2013Q1,Colima,Minatitlan,0.583408
2013-01-01,2013,1,2013Q1,Colima,Tecoman,9.623459
2013-01-01,2013,1,2013Q1,Colima,Villa De Alvarez,4.566576
2013-01-01,2013,1,2013Q1,Durango,Canatlan,2.963699
2013-01-01,2013,1,2013Q1,Durango,Canelas,0.206416
2013-01-01,2013,1,2013Q1,Durango,Coneto De Comonfort,0.427897
2013-01-01,2013,1,2013Q1,Durango,Cuencame,1.321904
2013-01-01,2013,1,2013Q1,Durango,Durango,37.024602
2013-01-01,2013,1,2013Q1,Durango,El Oro,2.49646
2013-01-01,2013,1,2013Q1,Durango,General Simon Bolivar,0.886027
2013-01-01,2013,1,2013Q1,Durango,Gomez Palacio,10.762587
2013-01-01,2013,1,2013Q1,Durango,Guadalupe Victoria,7.236281
2013-01-01,2013,1,2013Q1,Durango,Guanacevi,0.309474
2013-01-01,2013,1,2013Q1,Durango,Hidalgo,0.009086
2013-01-01,2013,1,2013Q1,Durango,Inde,0
2013-01-01,2013,1,2013Q1,Durango,Lerdo,3.087044
2013-01-01,2013,1,2013Q1,Durango,Mapimi,1.396685
2013-01-01,2013,1,2013Q1,Durango,Mezquital,0.514594
2013-01-01,2013,1,2013Q1,Durango,Nazas,1.639722
2013-01-01,2013,1,2013Q1,Durango,Nombre De Dios,1.254608
2013-01-01,2013,1,2013Q1,Durango,Nuevo Ideal,5.94543
2013-01-01,2013,1,2013Q1,Durango,Ocampo,1.020154
2013-01-01,2013,1,2013Q1,Durango,Otaez,0
2013-01-01,2013,1,2013Q1,Durango,Panuco De Coronado,1.318199
2013-01-01,2013,1,2013Q1,Durango,Penon Blanco,0.873721
2013-01-01,2013,1,2013Q1,Durango,Poanas,3.13711
2013-01-01,2013,1,2013Q1,Durango,Pueblo Nuevo,0.495616
2013-01-01,2013,1,2013Q1,Durango,Rodeo,2.624735
2013-01-01,2013,1,2013Q1,Durango,San Bernardo,0
2013-01-01,2013,1,2013Q1,Durango,San Dimas,0.04274
