mx_state,mx_municipality,validation_status,resolution,official_state,official_municipality,candidate_count,candidate_states,drop_reason
Chihuahua,Guadalupe,resolved,exact_same_state,Chihuahua,Guadalupe,4,Chihuahua | Nuevo Leon | Puebla | Zacatecas,NA
Chihuahua,Guadalupe Y Calvo,resolved,exact_same_state,Chihuahua,Guadalupe Y Calvo,1,Chihuahua,NA
Chihuahua,Guazapares,resolved,exact_same_state,Chihuahua,Guazapares,1,Chihuahua,NA
Chihuahua,Guerrero,resolved,exact_same_state,Chihuahua,Guerrero,3,Chihuahua | Coahuila De Zaragoza | Tamaulipas,NA
Chihuahua,Hidalgo Del Parral,resolved,exact_same_state,Chihuahua,Hidalgo Del Parral,1,Chihuahua,NA
Chihuahua,Huejotitan,resolved,exact_same_state,Chihuahua,Huejotitan,1,Chihuahua,NA
Chihuahua,Ignacio Zaragoza,resolved,exact_same_state,Chihuahua,Ignacio Zaragoza,1,Chihuahua,NA
Chihuahua,Janos,resolved,exact_same_state,Chihuahua,Janos,1,Chihuahua,NA
Chihuahua,Jimenez,resolved,exact_same_state,Chihuahua,Jimenez,4,Chihuahua | Coahuila De Zaragoza | Michoacan De Ocampo | Tamaulipas,NA
Chihuahua,Juarez,resolved,exact_same_state,Chihuahua,Juarez,5,Chiapas | Chihuahua | Coahuila De Zaragoza | Michoacan De Ocampo | Nuevo Leon,NA
Chihuahua,Julimes,resolved,exact_same_state,Chihuahua,Julimes,1,Chihuahua,NA
Chihuahua,La Cruz,resolved,exact_same_state,Chihuahua,La Cruz,1,Chihuahua,NA
Chihuahua,Lopez,resolved,exact_same_state,Chihuahua,Lopez,1,Chihuahua,NA
Chihuahua,Madera,resolved,exact_same_state,Chihuahua,Madera,1,Chihuahua,NA
Chihuahua,Maguarichi,resolved,exact_same_state,Chihuahua,Maguarichi,1,Chihuahua,NA
Chihuahua,Manuel Benavides,resolved,exact_same_state,Chihuahua,Manuel Benavides,1,Chihuahua,NA
Chihuahua,Matachi,resolved,exact_same_state,Chihuahua,Matachi,1,Chihuahua,NA
Chihuahua,Matamoros,resolved,exact_same_state,Chihuahua,Matamoros,3,Chihuahua | Coahuila De Zaragoza | Tamaulipas,NA
Chihuahua,Meoqui,resolved,exact_same_state,Chihuahua,Meoqui,1,Chihuahua,NA
Chihuahua,Morelos,resolved,exact_same_state,Chihuahua,Morelos,5,Chihuahua | Coahuila De Zaragoza | Estado De Mexico | Michoacan De Ocampo | Zacatecas,NA
Chihuahua,Moris,resolved,exact_same_state,Chihuahua,Moris,1,Chihuahua,NA
Chihuahua,Namiquipa,resolved,exact_same_state,Chihuahua,Namiquipa,1,Chihuahua,NA
Chihuahua,Nonoava,resolved,exact_same_state,Chihuahua,Nonoava,1,Chihuahua,NA
Chihuahua,Nuevo Casas Grandes,resolved,exact_same_state,Chihuahua,Nuevo Casas Grandes,1,Chihuahua,NA
Chihuahua,Ocampo,resolved,exact_same_state,Chihuahua,Ocampo,6,Chihuahua | Coahuila De Zaragoza | Durango | Guanajuato | Michoacan De Ocampo | Tamaulipas,NA
Chihuahua,Ojinaga,resolved,exact_same_state,Chihuahua,Ojinaga,1,Chihuahua,NA
Chihuahua,Praxedis G. Guerrero,resolved,exact_same_state,Chihuahua,Praxedis G. Guerrero,1,Chihuahua,NA
Chihuahua,Riva Palacio,resolved,exact_same_state,Chihuahua,Riva Palacio,1,Chihuahua,NA
Chihuahua,Rosales,resolved,exact_same_state,Chihuahua,Rosales,1,Chihuahua,NA
Chihuahua,San Francisco De Borja,resolved,exact_same_state,Chihuahua,San Francisco De Borja,1,Chihuahua,NA
Chihuahua,San Francisco De Conchos,resolved,exact_same_state,Chihuahua,San Francisco De Conchos,1,Chihuahua,NA
Chihuahua,San Francisco Del Oro,resolved,exact_same_state,Chihuahua,San Francisco Del Oro,1,Chihuahua,NA
Chihuahua,Santa Barbara,resolved,exact_same_state,Chihuahua,Santa Barbara,1,Chihuahua,NA
Chihuahua,Santa Isabel,resolved,exact_same_state,Chihuahua,Santa Isabel,1,Chihuahua,NA
Chihuahua,Satevo,resolved,exact_same_state,Chihuahua,Satevo,1,Chihuahua,NA
Chihuahua,Saucillo,resolved,exact_same_state,Chihuahua,Saucillo,1,Chihuahua,NA
Chihuahua,Temosachic,resolved,exact_same_state,Chihuahua,Temosachic,1,Chihuahua,NA
Chihuahua,Urique,resolved,exact_same_state,Chihuahua,Urique,1,Chihuahua,NA
Chihuahua,Uruachi,resolved,exact_same_state,Chihuahua,Uruachi,1,Chihuahua,NA
Chihuahua,Valle De Zaragoza,resolved,exact_same_state,Chihuahua,Valle De Zaragoza,1,Chihuahua,NA
Ciudad De Mexico,Alvaro Obregon,resolved,exact_same_state,Ciudad De Mexico,Alvaro Obregon,2,Ciudad De Mexico | Michoacan De Ocampo,NA
Ciudad De Mexico,Azcapotzalco,resolved,exact_same_state,Ciudad De Mexico,Azcapotzalco,1,Ciudad De Mexico,NA
Ciudad De Mexico,Benito Juarez,resolved,exact_same_state,Ciudad De Mexico,Benito Juarez,7,Ciudad De Mexico | Guerrero | Quintana Roo | Sonora | Tlaxcala | Veracruz De Ignacio De La Llave | Zacatecas,NA
Ciudad De Mexico,Coyoacan,resolved,exact_same_state,Ciudad De Mexico,Coyoacan,1,Ciudad De Mexico,NA
Ciudad De Mexico,Cuajimalpa De Morelos,resolved,exact_same_state,Ciudad De Mexico,Cuajimalpa De Morelos,1,Ciudad De Mexico,NA
Ciudad De Mexico,Cuauhtemoc,resolved,exact_same_state,Ciudad De Mexico,Cuauhtemoc,4,Chihuahua | Ciudad De Mexico | Colima | Zacatecas,NA
Ciudad De Mexico,Gustavo A. Madero,resolved,exact_same_state,Ciudad De Mexico,Gustavo A. Madero,1,Ciudad De Mexico,NA
Ciudad De Mexico,Iztacalco,resolved,exact_same_state,Ciudad De Mexico,Iztacalco,1,Ciudad De Mexico,NA
Ciudad De Mexico,Iztapalapa,resolved,exact_same_state,Ciudad De Mexico,Iztapalapa,1,Ciudad De Mexico,NA
Ciudad De Mexico,La Magdalena Contreras,resolved,exact_same_state,Ciudad De Mexico,La Magdalena Contreras,1,Ciudad De Mexico,NA
Ciudad De Mexico,Miguel Hidalgo,resolved,exact_same_state,Ciudad De Mexico,Miguel Hidalgo,1,Ciudad De Mexico,NA
Ciudad De Mexico,Milpa Alta,resolved,exact_same_state,Ciudad De Mexico,Milpa Alta,1,Ciudad De Mexico,NA
Ciudad De Mexico,Tlahuac,resolved,exact_same_state,Ciudad De Mexico,Tlahuac,1,Ciudad De Mexico,NA
Ciudad De Mexico,Tlalpan,resolved,exact_same_state,Ciudad De Mexico,Tlalpan,1,Ciudad De Mexico,NA
Ciudad De Mexico,Venustiano Carranza,resolved,exact_same_state,Ciudad De Mexico,Venustiano Carranza,4,Chiapas | Ciudad De Mexico | Michoacan De Ocampo | Puebla,NA
Ciudad De Mexico,Xochimilco,resolved,exact_same_state,Ciudad De Mexico,Xochimilco,1,Ciudad De Mexico,NA
Coahuila De Zaragoza,Abasolo,resolved,exact_same_state,Coahuila De Zaragoza,Abasolo,4,Coahuila De Zaragoza | Guanajuato | Nuevo Leon | Tamaulipas,NA
Coahuila De Zaragoza,Acuna,resolved,exact_same_state,Coahuila De Zaragoza,Acuna,1,Coahuila De Zaragoza,NA
Coahuila De Zaragoza,Allende,resolved,exact_same_state,Coahuila De Zaragoza,Allende,3,Chihuahua | Coahuila De Zaragoza | Nuevo Leon,NA
Coahuila De Zaragoza,Arteaga,resolved,exact_same_state,Coahuila De Zaragoza,Arteaga,2,Coahuila De Zaragoza | Michoacan De Ocampo,NA
Coahuila De Zaragoza,Candela,resolved,exact_same_state,Coahuila De Zaragoza,Candela,1,Coahuila De Zaragoza,NA
Coahuila De Zaragoza,Castanos,resolved,exact_same_state,Coahuila De Zaragoza,Castanos,1,Coahuila De Zaragoza,NA
Coahuila De Zaragoza,Cuatro Cienegas,resolved,exact_same_state,Coahuila De Zaragoza,Cuatro Cienegas,1,Coahuila De Zaragoza,NA
