period_date,year,quarter,year_quarter,mx_state,mx_municipality,remittances_musd
2015-10-01,2015,4,2015Q4,Oaxaca,Santiago Chazumba,0.340785
2015-10-01,2015,4,2015Q4,Oaxaca,Villa Hidalgo,0.276017
2015-10-01,2015,4,2015Q4,Oaxaca,Zapotitlan Del Rio,6.59e-4
2015-10-01,2015,4,2015Q4,San Luis Potosi,Ahualulco,1.497736
2016-01-01,2016,1,2016Q1,Chiapas,Cintalapa,2.148787
2016-01-01,2016,1,2016Q1,Chihuahua,Rosario,0
2016-01-01,2016,1,2016Q1,Guanajuato,Dolores Hidalgo Cuna De La Independencia Nal.,29.36815
2016-01-01,2016,1,2016Q1,Guerrero,Apaxtla,0.865898
2016-01-01,2016,1,2016Q1,Oaxaca,Miahuatlan De Porfirio Diaz,13.443564
2016-01-01,2016,1,2016Q1,Oaxaca,San Blas Atempa,0.001934
2016-01-01,2016,1,2016Q1,Oaxaca,San Juan Mixtepec - Distr. 08 -,0.005574
2016-01-01,2016,1,2016Q1,Oaxaca,San Juan Mixtepec - Distr. 26 -,0.00111
2016-01-01,2016,1,2016Q1,Oaxaca,San Martin De Los Cansecos,0
2016-01-01,2016,1,2016Q1,Oaxaca,San Pedro Mixtepec - Distr. 22 -,9.910668
2016-01-01,2016,1,2016Q1,Oaxaca,San Pedro Mixtepec - Distr. 26 -,0.089051
2016-01-01,2016,1,2016Q1,Oaxaca,Santiago Chazumba,0.352145
2016-01-01,2016,1,2016Q1,Oaxaca,Villa Hidalgo,0.22324
2016-01-01,2016,1,2016Q1,Oaxaca,Zapotitlan Del Rio,0
2016-01-01,2016,1,2016Q1,San Luis Potosi,Ahualulco,1.438424
2016-04-01,2016,2,2016Q2,Chiapas,Cintalapa,2.621256
2016-04-01,2016,2,2016Q2,Chihuahua,Rosario,0
2016-04-01,2016,2,2016Q2,Guanajuato,Dolores Hidalgo Cuna De La Independencia Nal.,34.490071
2016-04-01,2016,2,2016Q2,Guerrero,Apaxtla,0.837272
2016-04-01,2016,2,2016Q2,Oaxaca,Miahuatlan De Porfirio Diaz,15.223339
2016-04-01,2016,2,2016Q2,Oaxaca,San Blas Atempa,0.003886
2016-04-01,2016,2,2016Q2,Oaxaca,San Juan Mixtepec - Distr. 08 -,0.009176
2016-04-01,2016,2,2016Q2,Oaxaca,San Juan Mixtepec - Distr. 26 -,0.001586
2016-04-01,2016,2,2016Q2,Oaxaca,San Martin De Los Cansecos,0
