"adm2_name","adm2_name1","adm2_name2","adm2_name3","adm2_pcode","adm1_name","adm1_name1","adm1_name2","adm1_name3","adm1_pcode","adm0_name","adm0_name1","adm0_name2","adm0_name3","adm0_pcode","valid_on","valid_to","area_sqkm","version","lang","lang1","lang2","lang3","adm2_ref_n","center_lat","center_lon","mean_intensity","mean_pga"
"San Andrés Yaá",,,,"MX20100","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,40.9429758,"v02","es",,,,"San Andres Yaá",17.29422042,-96.12644401,,
"San Andrés Zabache",,,,"MX20101","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,7.06001005,"v02","es",,,,"San Andres Zabache",16.60480954,-96.8639606,3.61763216024313,1.15024834019036
"San Andrés Zautla",,,,"MX20102","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,69.38034493,"v02","es",,,,"San Andres Zautla",17.18294815,-96.90519554,3.58034843218811,0.824598705463441
"San Antonino Castillo Velasco",,,,"MX20103","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,11.34193733,"v02","es",,,,"San Antonino Castillo Velasco",16.81614967,-96.69515197,3.42620054600556,0.661498453542971
"San Antonino el Alto",,,,"MX20104","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,105.27841395,"v02","es",,,,"San Antonino el Alto",16.82223741,-97.0010039,3.89436812655826,1.2743194822927
"San Antonino Monte Verde",,,,"MX20105","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,109.70087376,"v02","es",,,,"San Antonino Monte Verde",17.52381559,-97.75099778,3.83755612264544,1.54983496250929
"San Antonio",,,,"MX24026","San Luis Potosí",,,,"MX24","México",,,,"MX",2021-06-18,,94.69174913,"v02","es",,,,"San Antonio",21.61889321,-98.87732631,,
"San Antonio Acutla",,,,"MX20106","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,16.47844206,"v02","es",,,,"San Antonio Acutla",17.7453789,-97.49957619,3.73188486212014,1.18829040085144
"San Antonio Cañada",,,,"MX21120","Puebla",,,,"MX21","México",,,,"MX",2021-06-18,,80.04153613,"v02","es",,,,"San Antonio Canada",18.49498245,-97.27447045,3.40930374987281,0.632838120708575
"San Antonio de la Cal",,,,"MX20107","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,11.00063869,"v02","es",,,,"San Antonio de la Cal",17.02815075,-96.69562315,3.47542411261122,0.68665008220351
"San Antonio Huitepec",,,,"MX20108","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,191.38853791,"v02","es",,,,"San Antonio Huitepec",16.92197308,-97.14836809,4.00640083754999,1.42097516527781
"San Antonio la Isla",,,,"MX15073","México",,,,"MX15","México",,,,"MX",2021-06-18,,25.30762911,"v02","es",,,,"San Antonio la Isla",19.16923635,-99.55676543,3.70900838672807,1.15314016526144
"San Antonio Nanahuatípam",,,,"MX20109","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,77.202831,"v02","es",,,,"San Antonio Nanahuatipam",18.14866755,-97.1604059,3.45505309039035,0.67766520886489
"San Antonio Sinicahua",,,,"MX20110","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,29.23674761,"v02","es",,,,"San Antonio Sinicahua",17.15072413,-97.575385,3.76186971126702,1.3030587684513
"San Antonio Tepetlapa",,,,"MX20111","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,69.4102879,"v02","es",,,,"San Antonio Tepetlapa",16.53444191,-98.04943816,3.96611408839381,2.10918505929664
"San Baltazar Chichicápam",,,,"MX20112","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,92.17809754,"v02","es",,,,"San Baltazar Chichicapam",16.75844743,-96.49360561,3.38929694817192,0.613742111737986
"San Baltazar Loxicha",,,,"MX20113","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,120.90307284,"v02","es",,,,"San Baltazar Loxicha",16.04359208,-96.79846464,3.63984424247104,0.773843125389224
"San Baltazar Yatzachi el Bajo",,,,"MX20114","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,30.32620123,"v02","es",,,,"San Baltazar Yatzachi el Bajo",17.22498195,-96.21256391,,
"San Bartolo Coyotepec",,,,"MX20115","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,31.36575392,"v02","es",,,,"San Bartolo Coyotepec",16.94886316,-96.69319487,3.49348471456003,0.714025982018924
"San Bartolo Soyaltepec",,,,"MX20121","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,74.92462389,"v02","es",,,,"San Bartolo Soyaltepec",17.57706929,-97.31194371,3.60604689079141,0.951408316950724
"San Bartolo Tutotepec",,,,"MX13053","Hidalgo",,,,"MX13","México",,,,"MX",2021-06-18,,358.47832467,"v02","es",,,,"San Bartolo Tutotepec",20.46941895,-98.19597847,,
"San Bartolo Yautepec",,,,"MX20122","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,93.38672879,"v02","es",,,,"San Bartolo Yautepec",16.42602862,-95.92210631,,
"San Bartolomé Ayautla",,,,"MX20116","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,57.40577592,"v02","es",,,,"San Bartolome Ayautla",18.05834622,-96.66154335,3.3852139538808,0.574277683529692
"San Bartolomé Loxicha",,,,"MX20117","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,156.15977887,"v02","es",,,,"San Bartolome Loxicha",15.95699665,-96.76398112,3.50713065048329,0.661364015261393
"San Bartolomé Quialana",,,,"MX20118","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,23.88187237,"v02","es",,,,"San Bartolome Quialana",16.89428945,-96.49916899,3.38594123829161,0.604100971000982
"San Bartolomé Yucuañe",,,,"MX20119","Oaxaca",,,,"MX20","México",,,,"MX",2021-06-18,,85.91383994,"v02","es",,,,"San Bartolome Yucuane",17.21052407,-97.455683,3.79207852141845,1.2995433323649
