"state","municipality","year","quarter","remittances_musd","mean_intensity","event"
"Aguascalientes","El Llano",2013,3,1276.505,0,NA
"Aguascalientes","El Llano",2013,4,1090.384,0,NA
"Aguascalientes","El Llano",2014,1,183.558,0,NA
"Aguascalientes","El Llano",2014,2,29.54,0,"2014_M7.2_coyuquilla_norte"
"Aguascalientes","El Llano",2014,3,56.813,0,"2014_M6.9_puerto_madero"
"Aguascalientes","El Llano",2014,4,29.892,0,NA
"Aguascalientes","El Llano",2015,1,191.741,0,NA
"Aguascalientes","El Llano",2015,2,174.593,0,NA
"Aguascalientes","El Llano",2015,3,167.924,0,NA
"Aguascalientes","El Llano",2015,4,184.848,0,NA
"Aguascalientes","El Llano",2016,1,79.373,0,NA
"Aguascalientes","El Llano",2016,2,97.94,0,NA
"Aguascalientes","El Llano",2016,3,112.04,0,NA
"Aguascalientes","El Llano",2016,4,110.323,0,NA
"Aguascalientes","El Llano",2017,1,207.134,0,NA
"Aguascalientes","El Llano",2017,2,221.335,0,NA
"Aguascalientes","El Llano",2017,3,214.779,0,"2017_M7.1_matzaco"
"Aguascalientes","El Llano",2017,4,223.122,0,NA
"Aguascalientes","El Llano",2018,1,319.698,0,"2018_M7.2_pinotepa"
"Aguascalientes","El Llano",2018,2,420.205,0,NA
"Aguascalientes","El Llano",2018,3,386.952,0,NA
"Aguascalientes","El Llano",2018,4,357.499,0,NA
"Aguascalientes","El Llano",2019,1,395.831,0,"2019_M6.7_puerto_madero"
"Aguascalientes","El Llano",2019,2,527.647,0,NA
"Aguascalientes","El Llano",2019,3,354.607,0,NA
"Aguascalientes","El Llano",2019,4,227.052,0,NA
"Aguascalientes","El Llano",2020,1,216.411,0,NA
"Aguascalientes","El Llano",2020,2,268.053,0,"2020_M7.4_Santa_Maria_Xadani"
"Aguascalientes","El Llano",2020,3,301.255,0,NA
"Aguascalientes","El Llano",2020,4,282.604,0,NA
"Aguascalientes","El Llano",2021,1,384.669,0,NA
"Aguascalientes","El Llano",2021,2,589.96,0,NA
"Aguascalientes","El Llano",2021,3,595.976,0,"2021_M7.0_acapulco"
"Aguascalientes","El Llano",2021,4,686.925,0,NA
"Aguascalientes","El Llano",2022,1,652.568,0,NA
"Aguascalientes","El Llano",2022,2,1097.635,0,NA
"Aguascalientes","El Llano",2022,3,325.136,0,"2022_M6.8_aguililla"
"Aguascalientes","El Llano",2022,4,347.641,0,NA
"Aguascalientes","El Llano",2023,1,314.522,0,NA
"Aguascalientes","El Llano",2023,2,411.424,0,NA
"Aguascalientes","El Llano",2023,3,398.391,0,NA
"Aguascalientes","El Llano",2023,4,273.385,0,NA
"Aguascalientes","El Llano",2024,1,218.11,0,NA
"Aguascalientes","El Llano",2024,2,306.182,0,NA
"Aguascalientes","El Llano",2024,3,254.45,0,NA
"Aguascalientes","El Llano",2024,4,225.846,0,NA
"Aguascalientes","El Llano",2025,1,246.754,0,NA
"Aguascalientes","El Llano",2025,2,303.163,0,NA
"Aguascalientes","El Llano",2025,3,241.088,0,NA
"Aguascalientes","El Llano",2025,4,183.863,0,NA
"Aguascalientes","Jesús María",2013,1,2214.437,0,NA
"Aguascalientes","Jesús María",2013,2,2927.256,0,NA
"Aguascalientes","Jesús María",2013,3,2541.153,0,NA
"Aguascalientes","Jesús María",2013,4,2595.454,0,NA
"Aguascalientes","Jesús María",2014,1,2389.08,0,NA
"Aguascalientes","Jesús María",2014,2,2607.322,0,"2014_M7.2_coyuquilla_norte"
"Aguascalientes","Jesús María",2014,3,2226.213,0,"2014_M6.9_puerto_madero"
"Aguascalientes","Jesús María",2014,4,2380.224,0,NA
"Aguascalientes","Jesús María",2015,1,2181.735,0,NA
"Aguascalientes","Jesús María",2015,2,2312.979,0,NA
"Aguascalientes","Jesús María",2015,3,2316.894,0,NA
"Aguascalientes","Jesús María",2015,4,2249.082,0,NA
"Aguascalientes","Jesús María",2016,1,2178.716,0,NA
"Aguascalientes","Jesús María",2016,2,2512.247,0,NA
"Aguascalientes","Jesús María",2016,3,2516.203,0,NA
"Aguascalientes","Jesús María",2016,4,2388.997,0,NA
"Aguascalientes","Jesús María",2017,1,2495.522,0,NA
"Aguascalientes","Jesús María",2017,2,2828.343,0,NA
"Aguascalientes","Jesús María",2017,3,3020.154,0,"2017_M7.1_matzaco"
"Aguascalientes","Jesús María",2017,4,3032.564,0,NA
"Aguascalientes","Jesús María",2018,1,2805.621,0,"2018_M7.2_pinotepa"
"Aguascalientes","Jesús María",2018,2,3359.961,0,NA
"Aguascalientes","Jesús María",2018,3,2967.089,0,NA
"Aguascalientes","Jesús María",2018,4,3065.751,0,NA
"Aguascalientes","Jesús María",2019,1,2728.974,0,"2019_M6.7_puerto_madero"
"Aguascalientes","Jesús María",2019,2,3386.956,0,NA
"Aguascalientes","Jesús María",2019,3,3663.664,0,NA
"Aguascalientes","Jesús María",2019,4,3401.843,0,NA
"Aguascalientes","Jesús María",2020,1,3458.832,0,NA
"Aguascalientes","Jesús María",2020,2,3843.763,0,"2020_M7.4_Santa_Maria_Xadani"
"Aguascalientes","Jesús María",2020,3,5930.544,0,NA
"Aguascalientes","Jesús María",2020,4,4431.108,0,NA
"Aguascalientes","Jesús María",2021,1,4440.101,0,NA
"Aguascalientes","Jesús María",2021,2,5599.753,0,NA
"Aguascalientes","Jesús María",2021,3,6292.758,0,"2021_M7.0_acapulco"
"Aguascalientes","Jesús María",2021,4,6464.137,0,NA
"Aguascalientes","Jesús María",2022,1,5618.297,0,NA
"Aguascalientes","Jesús María",2022,2,7105.227,0,NA
"Aguascalientes","Jesús María",2022,3,7076.796,0,"2022_M6.8_aguililla"
"Aguascalientes","Jesús María",2022,4,7391.907,0,NA
"Aguascalientes","Jesús María",2023,1,6593.382,0,NA
"Aguascalientes","Jesús María",2023,2,7808.476,0,NA
"Aguascalientes","Jesús María",2023,3,8080.289,0,NA
"Aguascalientes","Jesús María",2023,4,7580.667,0,NA
"Aguascalientes","Jesús María",2024,1,6644.803,0,NA
"Aguascalientes","Jesús María",2024,2,8326.401,0,NA
"Aguascalientes","Jesús María",2024,3,7852.106,0,NA
"Aguascalientes","Jesús María",2024,4,8901.689,0,NA
"Aguascalientes","Jesús María",2025,1,8096.684,0,NA
"Aguascalientes","Jesús María",2025,2,7793.336,0,NA
"Aguascalientes","Jesús María",2025,3,6901.764,0,NA
"Aguascalientes","Jesús María",2025,4,6981.08,0,NA
"Aguascalientes","Pabellón de Arteaga",2013,1,5686.349,0,NA
"Aguascalientes","Pabellón de Arteaga",2013,2,6415.342,0,NA
"Aguascalientes","Pabellón de Arteaga",2013,3,6082.879,0,NA
"Aguascalientes","Pabellón de Arteaga",2013,4,5538.099,0,NA
"Aguascalientes","Pabellón de Arteaga",2014,1,4897.927,0,NA
"Aguascalientes","Pabellón de Arteaga",2014,2,5554.181,0,"2014_M7.2_coyuquilla_norte"
"Aguascalientes","Pabellón de Arteaga",2014,3,5116.256,0,"2014_M6.9_puerto_madero"
"Aguascalientes","Pabellón de Arteaga",2014,4,5386.657,0,NA
"Aguascalientes","Pabellón de Arteaga",2015,1,4740.52,0,NA
"Aguascalientes","Pabellón de Arteaga",2015,2,5643.993,0,NA
"Aguascalientes","Pabellón de Arteaga",2015,3,5722.016,0,NA
"Aguascalientes","Pabellón de Arteaga",2015,4,5424.782,0,NA
"Aguascalientes","Pabellón de Arteaga",2016,1,5022.646,0,NA
"Aguascalientes","Pabellón de Arteaga",2016,2,5796.798,0,NA
"Aguascalientes","Pabellón de Arteaga",2016,3,6163.368,0,NA
"Aguascalientes","Pabellón de Arteaga",2016,4,6420.598,0,NA
"Aguascalientes","Pabellón de Arteaga",2017,1,6137.989,0,NA
"Aguascalientes","Pabellón de Arteaga",2017,2,6869.071,0,NA
"Aguascalientes","Pabellón de Arteaga",2017,3,7048.134,0,"2017_M7.1_matzaco"
"Aguascalientes","Pabellón de Arteaga",2017,4,7341.612,0,NA
"Aguascalientes","Pabellón de Arteaga",2018,1,6269.499,0,"2018_M7.2_pinotepa"
"Aguascalientes","Pabellón de Arteaga",2018,2,8126.958,0,NA
"Aguascalientes","Pabellón de Arteaga",2018,3,7090.226,0,NA
"Aguascalientes","Pabellón de Arteaga",2018,4,7087.708,0,NA
"Aguascalientes","Pabellón de Arteaga",2019,1,5802.517,0,"2019_M6.7_puerto_madero"
"Aguascalientes","Pabellón de Arteaga",2019,2,6770.599,0,NA
"Aguascalientes","Pabellón de Arteaga",2019,3,7699.353,0,NA
"Aguascalientes","Pabellón de Arteaga",2019,4,6712.668,0,NA
"Aguascalientes","Pabellón de Arteaga",2020,1,8148.912,0,NA
"Aguascalientes","Pabellón de Arteaga",2020,2,10070.801,0,"2020_M7.4_Santa_Maria_Xadani"
"Aguascalientes","Pabellón de Arteaga",2020,3,11153.394,0,NA
"Aguascalientes","Pabellón de Arteaga",2020,4,10627.557,0,NA
"Aguascalientes","Pabellón de Arteaga",2021,1,10135.245,0,NA
"Aguascalientes","Pabellón de Arteaga",2021,2,13119.692,0,NA
"Aguascalientes","Pabellón de Arteaga",2021,3,13318.428,0,"2021_M7.0_acapulco"
"Aguascalientes","Pabellón de Arteaga",2021,4,13956.951,0,NA
