state,municipality,matched_quarters,total_quarters,fully_matched
Coahuila,Cuatro Ciénegas,48,48,TRUE
Coahuila,Escobedo,48,48,TRUE
Coahuila,Francisco I. Madero,48,48,TRUE
Coahuila,Frontera,48,48,TRUE
Coahuila,General Cepeda,48,48,TRUE
Coahuila,Guerrero,48,48,TRUE
Coahuila,Hidalgo,48,48,TRUE
Coahuila,Jiménez,48,48,TRUE
Coahuila,Juárez,48,48,TRUE
Coahuila,Lamadrid,48,48,TRUE
Coahuila,Matamoros,48,48,TRUE
Coahuila,Monclova,48,48,TRUE
Coahuila,Morelos,48,48,TRUE
Coahuila,Múzquiz,48,48,TRUE
Coahuila,Nadadores,48,48,TRUE
Coahuila,Nava,48,48,TRUE
Coahuila,Ocampo,48,48,TRUE
Coahuila,Parras,48,48,TRUE
Coahuila,Piedras Negras,48,48,TRUE
Coahuila,Progreso,48,48,TRUE
Coahuila,Ramos Arizpe,48,48,TRUE
Coahuila,Sabinas,48,48,TRUE
Coahuila,Sacramento,48,48,TRUE
Coahuila,Saltillo,48,48,TRUE
Coahuila,San Buenaventura,48,48,TRUE
Coahuila,San Juan de Sabinas,48,48,TRUE
Coahuila,San Pedro,48,48,TRUE
Coahuila,Sierra Mojada,48,48,TRUE
Coahuila,Torreón,48,48,TRUE
Coahuila,Viesca,48,48,TRUE
Coahuila,Villa Unión,48,48,TRUE
Coahuila,Zaragoza,48,48,TRUE
Colima,Armería,48,48,TRUE
Colima,Colima,48,48,TRUE
Colima,Comala,48,48,TRUE
Colima,Coquimatlán,48,48,TRUE
Colima,Cuauhtémoc,48,48,TRUE
Colima,Ixtlahuacán,48,48,TRUE
Colima,Manzanillo,48,48,TRUE
Colima,Minatitlán,48,48,TRUE
Colima,Tecomán,48,48,TRUE
Colima,Villa de Álvarez,48,48,TRUE
Durango,Canatlán,48,48,TRUE
Durango,Canelas,48,48,TRUE
Durango,Coneto de Comonfort,48,48,TRUE
Durango,Cuencamé,48,48,TRUE
Durango,Durango,48,48,TRUE
Durango,El Oro,48,48,TRUE
Durango,General Simón Bolívar,48,48,TRUE
Durango,Guadalupe Victoria,48,48,TRUE
Durango,Guanaceví,48,48,TRUE
Durango,Gómez Palacio,48,48,TRUE
Durango,Hidalgo,48,48,TRUE
Durango,Indé,48,48,TRUE
Durango,Lerdo,48,48,TRUE
Durango,Mapimí,48,48,TRUE
Durango,Mezquital,48,48,TRUE
Durango,Nazas,48,48,TRUE
Durango,Nombre de Dios,48,48,TRUE
Durango,Nuevo Ideal,48,48,TRUE
Durango,Ocampo,48,48,TRUE
Durango,Otáez,48,48,TRUE
